SIO2(WT%),AL2O3(WT%),FEOT(WT%),MGO(WT%),CAO(WT%),NA2O(WT%),K2O(WT%),TIO2(WT%),CR2O3(WT%)
50.86,16.71,8.46,8.86,10.64,2.25,1.03,0.72,0
50.86,16.71,8.46,8.86,10.64,2.25,1.03,0.72,0
50.86,16.71,8.46,8.86,10.64,2.25,1.03,0.72,0
51,16.11,8.49,9.02,11.06,2.2,0.98,0.69,0
51,16.11,8.49,9.02,11.06,2.2,0.98,0.69,0
51.1,15.58,7.85,9.71,11.03,2.3,1.34,0.68,0
51.79,16.03,7.81,9.02,10.69,2.12,1.4,0.68,0
51.89,15.15,7.84,8.38,11.06,2.42,1.89,0.89,0
52.09,16.38,7.95,9.06,10.08,2.36,1.04,0.65,0
52.24,15.9,8.13,8.87,10.65,2.25,0.94,0.66,0
52.24,15.9,8.13,8.87,10.65,2.25,0.94,0.66,0
52.61,14.61,8.49,10.01,9.95,2.33,1.03,0.66,0
48.27,15.7,9.12,12.73,10.8,1.87,0.48,0.73,0
48.28,15.68,9.13,12.73,10.81,1.87,0.48,0.73,0
48.69,15.21,9.07,11.89,11.42,2.13,0.74,0.69,0
48.99,16.03,8.92,11.43,10.9,2.21,0.52,0.7,0
49,16.03,8.91,11.43,10.9,2.21,0.52,0.7,0
49.92,15.84,9.17,10.84,10.06,2.64,0.45,0.83,0
50.11,16.05,8.71,11.15,9.96,2.56,0.58,0.75,0
50.69,15.52,7.97,10.93,10.11,3.05,0.87,0.74,0
50.72,15.46,8.32,11.2,10.16,2.09,1,0.78,0
54.37,16.11,7.15,8.77,8.88,3.03,0.66,0.69,0
56.6,15.41,6.45,8.2,8.1,2.62,1.73,0.64,0
56.6,15.4,6.84,7.36,8.53,2.91,1.48,0.77,0
57.58,15.01,6.48,7.5,8.49,2.83,1.43,0.44,0
45.77,13.23,11.42,12.48,9.6,3.32,1.28,2.33,0
45.85,12.59,10.94,14.02,9.64,3.05,1.17,2.15,0
45.91,13.86,10.28,11.08,10.31,3.64,1.62,2.56,0
45.72,13.24,11.27,11.79,9.83,3.6,1.34,2.58,0
44.13,13.68,11.41,11.93,10.49,3.83,1.06,2.66,0
55.8,15.88,7.14,7.66,7.66,3.6,1.12,0.82,0
55.96,15.82,7.1,7.48,7.73,3.61,1.14,0.82,0
49.55,14.5,9.07,9.68,9.41,2.05,3.25,1.58,0
49.42,13.64,8.99,10.76,9.53,2.16,2.83,1.59,0
50.28,14.8,8.71,11.12,8.92,3.34,1.32,1.01,0
51.17,15.09,7.87,9.87,7.7,3.04,2.94,1.41,0
52.23,14.35,7.6,9.72,8.01,2.97,2.96,1.35,0
52.59,14.28,8.38,8.89,6.87,3.11,4.09,1.4,0
52.69,14.34,7.23,8.5,7.51,3.06,4.08,1.56,0
52.7,14.02,7.32,10.08,7.52,2.88,3.39,1.28,0
52.81,14.67,7.4,8.75,7.35,3.13,3.51,1.49,0
53.17,14.94,8.72,9.22,8.21,3.03,1.5,1.09,0
53.35,14.36,7.75,8.88,7.49,3.05,2.93,1.3,0
53.37,14.41,7.43,9.02,6.96,3.11,4.16,1.42,0
53.67,15.45,7.86,8.44,8.08,3.39,1.69,1.05,0
53.82,15.88,7.68,8.24,8.29,2.78,1.71,1.18,0
54.01,14.68,7.7,9.59,8.11,2.61,1.7,1.18,0
54.2,15.25,7.8,8.96,7.54,2.72,1.82,1.29,0
54.29,14.22,7.13,7.46,7.32,3.06,4.07,1.43,0
54.38,13.89,7.34,8.88,6.25,2.78,4.35,1.25,0
54.88,13.78,6.67,9.42,6.53,2.93,3.83,1.21,0
55.2,14.1,6.73,9.01,6.35,2.82,4.42,1.27,0
55.32,16.08,7.14,7.48,8.6,3.14,1.11,0.81,0
55.49,13.9,6.25,8.81,6.56,2.79,4.26,1.2,0
55.78,14.99,6.54,7.4,5.9,2.7,5.48,1.13,0
55.8,13.23,6.76,8.83,5.58,2.27,5.34,1.38,0
56.39,13.9,6.29,8.04,6.22,2.89,4.28,1.16,0
59.79,15.05,6.28,6.56,5.5,3.15,2.2,1.11,0
47.59,14.68,9.15,10.05,11.6,3.21,1.42,1.49,0
48.07,17.8,8.66,9.47,9.68,3.77,0.76,1.31,0
48.36,15.11,8.69,9.55,11.95,3.1,1.19,1.4,0
48.65,14.54,9.08,9.86,10.9,3.35,1.37,1.62,0
49,15.55,9.11,10.6,9.33,3.18,1.42,1.24,0
49.5,17.01,8.96,9.96,9.53,3.11,0.6,1,0
50.84,16.81,9.07,10.74,7.57,3.04,0.73,0.87,0
51.86,16.82,8.42,8.93,8.09,3.49,1.01,0.98,0
52.22,17.06,8.31,8.96,7.76,3.52,0.95,0.88,0
47.78,13.89,10.83,16.17,7.93,2.14,0.3,0.67,0
48.83,14.77,9.79,14.45,8.63,2.21,0.31,0.71,0
54.44,11.61,6.47,9.8,14.78,1.71,0.62,0.42,0
53.15,17.98,6.66,7.04,9.85,2.93,1.42,0.7,0
54.42,13.68,7.02,8.54,13.47,1.74,0.53,0.45,0
54.37,13.8,7.03,8.49,13.11,1.87,0.68,0.47,0
53.23,14.23,8.45,10.34,9.93,2.31,0.8,0.41,0
51.79,13.17,8.94,12.69,10.26,1.97,0.68,0.41,0
49.53,15.1,9.22,11.38,10.87,2.21,0.25,1.15,0
49.73,14.55,9.46,10.92,11.52,2.17,0.19,1.16,0
49.73,14.55,9.46,10.92,11.52,2.17,0.19,1.16,0
49.84,15.98,8.96,10.35,10.85,2.36,0.24,1.12,0
50.4,16.77,8.45,9.24,11.21,2.42,0.21,1.02,0
49.23,15.95,9.81,10.03,9.47,2.92,0.39,1.59,0
49.47,16.62,8.83,10.48,10.08,2.69,0.53,0.92,0
49.61,15.56,8.27,9.7,10.91,2.76,1.54,1.15,0
49.61,15.64,8.59,9.64,9.83,3.18,1.48,1.36,0
49.73,15.59,8.3,10.69,9.8,3.04,0.92,1.32,0
49.77,16.15,8.82,9.01,9.55,3.55,1.09,1.52,0
49.8,15.63,8.05,9.75,10.48,3.23,1.49,1.07,0
50,16.36,8.63,8.9,9.35,3.78,1.1,1.38,0
50.03,17.11,8.23,8.77,9.67,3.3,1.05,1.25,0
50.11,17.51,8.51,8.52,9.13,3.22,1.12,1.29,0
50.21,16.54,8.7,8.82,9.36,3.48,0.77,1.63,0
50.26,16.28,8.11,9.41,9.72,3.13,1.43,1.15,0
50.26,16.19,8.68,8.79,9.43,3.54,1.11,1.48,0
50.41,16.49,8.4,8.52,9.74,3.31,1.26,1.3,0
50.68,15.96,7.84,8.92,9.18,3.15,1.89,1.65,0
50.72,16.13,7.89,8.55,9.2,3.1,2.04,1.65,0
50.74,16.54,8.56,8.56,9.47,3.39,0.71,1.57,0
50.75,16.54,8.56,8.56,9.47,3.39,0.71,1.56,0
50.78,15.87,7.75,8.98,9.25,3.17,1.85,1.61,0
50.81,17,8.46,8.83,7.83,3.62,1.32,1.56,0
50.81,16.94,7.82,9.07,8.9,3.85,0.86,1.21,0
50.84,16.11,8.32,8.75,8.89,3.53,1.47,1.29,0
51.07,16.17,8.26,8.46,8.79,3.59,1.63,1.31,0
51.07,15.26,9.24,9.61,8.47,3.43,1.16,1.33,0
51.08,16.39,8.28,9.13,10.16,2.93,0.76,0.85,0
51.14,15.33,8.14,9.86,9.09,3.12,1.68,1.16,0
51.45,15.7,7.44,10.76,10.04,2.76,0.77,0.67,0
51.5,16.79,7.16,8.49,9.38,3.81,1.16,1.2,0
51.52,16.39,7.55,7.8,8.18,3.82,2.21,1.7,0
51.71,16.46,7.44,8.05,8.43,3.25,2.33,1.58,0
51.79,16.29,7.44,8.05,8.95,3.92,1.53,1.33,0
51.83,17.02,7.51,8.17,9.07,3.58,1.16,1.19,0
51.93,16.64,8.45,8.69,9.11,3.12,0.61,1.07,0
52,16.54,8.39,8.72,9.15,3.13,0.64,1.06,0
47.89,18.25,9.12,9.63,11.43,2.39,0.09,0.94,0
48.69,17.33,9.01,9.43,12.08,2.24,0.11,0.85,0
47.97,17.51,9.2,9.62,11.44,2.86,0.08,1.05,0
48.32,17.41,8.95,10.37,11.68,2.27,0.09,0.69,0
47.92,17.54,9.23,9.6,11.43,2.86,0.1,1.05,0
47.67,17.46,9.76,9.78,11.14,2.7,0.11,1.08,0
47.81,17.73,8.86,10.26,11.85,2.42,0.08,0.74,0
