Experiment;Citation;Cit;Compiler;Device;Container;Exp_Type;Lab;Comments;Duration_hrs;P_kbar;T_C;fo2_buffer;delta_buffer;melt_fraction;ol;opx;cpx;plag;amph;mag;sp;ilm;bt;ksp;gt;qz;phase_sum;assemblage;SiO2_start;TiO2_start;Cr2O3_start;Al2O3_start;FeO_start;Fe2O3_start;O_start;MgO_start;CaO_start;Na2O_start;K2O_start;H2O_start;xH2O_in;H2O_method;CO2_start;start_density_calculated;start_density_unc;SiO2_liquid;TiO2_liquid;Al2O3_liquid;FeO_liquid;MgO_liquid;CaO_liquid;Na2O_liquid;K2O_liquid;H2O_liquid;liq_density_calculated;liq_density_unc;sol_density
1;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;825.000;nno;0.000;73.000;0.000;0.000;0.000;8.000;18.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;99.000;plag amph ;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;10.000;0.000;tabulated;0.000;2185.743722;65.62544709;64.890;0.240;14.360;2.000;0.400;2.890;3.170;2.540;7.600;2164.472449;54.5334741;0.000
1_2;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;825.000;nno;0.000;52.000;0.000;5.000;0.000;31.000;11.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;opx plag amph ilm;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;5.921;0.000;tabulated;4.079;2316.013698;51.40618155;70.860;0.220;12.370;1.490;0.270;1.790;3.050;3.750;6.800;2168.70091;48.29889008;0.000
2;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;825.000;nno;0.000;59.000;0.000;0.000;0.000;31.000;9.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;plag amph ilm;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.063;0.000;tabulated;3.937;2311.029904;51.95017403;70.620;0.250;12.690;1.480;0.280;2.070;3.040;3.760;6.800;2172.977893;48.52435248;0.000
3;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;800.000;nno;0.000;68.000;0.000;0.000;0.000;15.000;17.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;plag amph ;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;10.000;0.000;tabulated;0.000;2193.670629;65.24258946;67.210;0.210;13.820;1.710;0.330;2.440;3.260;2.790;7.600;2161.804025;52.89186906;0.000
4;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;800.000;nno;0.000;50.000;0.000;3.000;0.000;34.000;12.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;opx plag amph ox;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.209;0.000;tabulated;3.791;2312.590977;52.20087164;71.290;0.220;11.960;1.350;0.280;1.630;2.810;3.800;6.700;2171.727613;47.44410566;0.000
5;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;825.000;nno;0.000;50.000;0.000;9.000;0.000;38.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.000;99.000;opx plag qz;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;3.904;0.000;tabulated;6.096;2390.614119;43.26337509;66.420;1.070;12.570;3.160;1.700;2.340;2.330;3.100;5.300;2263.885687;46.07463025;0.000
7;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;850.000;nno;0.000;80.000;0.000;0.000;0.000;4.000;16.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;100.000;plag amph;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;10.000;0.000;tabulated;0.000;2177.873898;66.00554774;63.570;0.320;14.680;2.180;0.400;3.230;3.270;2.390;7.500;2168.221552;55.19722443;0.000
8;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;850.000;nno;0.000;56.000;0.000;7.000;0.000;29.000;7.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;opx plag amph ilm;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;6.394;0.000;tabulated;4.079;2292.944944;53.50230779;69.790;0.280;12.860;1.700;0.350;2.090;3.280;3.540;6.900;2168.409838;49.58913342;0.000
9;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;850.000;nno;0.000;47.000;0.000;12.000;0.000;40.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.000;100.000;opx plag ilm;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;5.429;0.000;tabulated;6.292;2327.266372;49.77305481;72.350;0.250;12.100;1.490;0.410;1.550;2.840;4.160;5.400;2208.011587;42.49768394;0.000
11;Holtz, F, Sato, H.,Lewis, J., Behrens, H. Nakada, S. (2005) Experimental Petrology of the 1991-19995 Unzen Dacite, Japan.  Part I: Phase relations, phase composition, and pre-eruptive conditions. Journal of Petrology 46 319-337. DOI: 10.1093/petrology/egh077;Holtz2005;LC;CSPV;Au,AgPd;EQ;Phase compositions analyzed in Kobe. Experiments probably conducted in Hannover;Used water as pressurizing medium;168.00000;3.000;775.000;nno;0.000;63.000;0.000;0.000;0.000;17.000;16.000;0.000;0.000;0.000;2.000;0.000;0.000;0.000;98.000;plag amph bt;65.100;0.650;0.000;15.590;4.810;0.000;0.000;2.480;5.110;3.450;2.490;10.000;0.000;tabulated;0.000;2201.655241;64.85694475;67.380;0.150;13.280;1.250;0.220;2.400;2.590;2.610;7.600;2153.552039;52.62964839;0.000
